# bins nld
0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000111e-01 0.000000000000000000e+00
4.000000000000000222e-01 0.000000000000000000e+00
6.000000000000000888e-01 0.000000000000000000e+00
8.000000000000000444e-01 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000178e+00 0.000000000000000000e+00
1.400000000000000133e+00 0.000000000000000000e+00
1.600000000000000089e+00 0.000000000000000000e+00
1.800000000000000044e+00 0.000000000000000000e+00
2.000000000000000000e+00 5.000000000000000000e+00
2.200000000000000178e+00 1.500000000000000000e+01
2.400000000000000355e+00 1.000000000000000000e+01
2.600000000000000089e+00 2.000000000000000000e+01
2.800000000000000266e+00 3.000000000000000000e+01
3.000000000000000000e+00 3.500000000000000000e+01
3.200000000000000178e+00 5.000000000000000000e+01
3.400000000000000355e+00 2.500000000000000000e+01
3.600000000000000089e+00 3.500000000000000000e+01
3.800000000000000266e+00 5.500000000000000000e+01
4.000000000000000000e+00 6.500000000000000000e+01
4.200000000000000178e+00 7.000000000000000000e+01
4.400000000000000355e+00 9.500000000000000000e+01
4.600000000000000533e+00 1.350000000000000000e+02
4.800000000000000711e+00 1.450000000000000000e+02
5.000000000000000000e+00 1.550000000000000000e+02
5.200000000000000178e+00 1.800000000000000000e+02
5.400000000000000355e+00 2.100000000000000000e+02
5.600000000000000533e+00 2.350000000000000000e+02
5.800000000000000711e+00 3.050000000000000000e+02
6.000000000000000000e+00 3.200000000000000000e+02
6.200000000000000178e+00 3.850000000000000000e+02
6.400000000000000355e+00 4.500000000000000000e+02
6.600000000000000533e+00 4.950000000000000000e+02
6.800000000000000711e+00 5.700000000000000000e+02
7.000000000000000000e+00 6.350000000000000000e+02
7.200000000000000178e+00 7.200000000000000000e+02
7.400000000000000355e+00 7.350000000000000000e+02
7.600000000000000533e+00 5.600000000000000000e+02
7.800000000000000711e+00 4.100000000000000000e+02
8.000000000000000000e+00 3.300000000000000000e+02
8.200000000000001066e+00 3.800000000000000000e+02
8.400000000000000355e+00 2.450000000000000000e+02
8.599999999999999645e+00 1.700000000000000000e+02
8.800000000000000711e+00 1.750000000000000000e+02
9.000000000000000000e+00 8.500000000000000000e+01
9.200000000000001066e+00 7.000000000000000000e+01
9.400000000000000355e+00 7.500000000000000000e+01
9.600000000000001421e+00 7.000000000000000000e+01
9.800000000000000711e+00 8.000000000000000000e+01
1.000000000000000000e+01 9.000000000000000000e+01
1.020000000000000107e+01 7.500000000000000000e+01
1.040000000000000036e+01 0.000000000000000000e+00
