# bins nld
0.000000000000000000e+00 1.960784313725490335e+01
2.550000000000000044e-01 0.000000000000000000e+00
5.100000000000000089e-01 7.843137254901960453e+00
7.650000000000000133e-01 3.921568627450980227e+00
1.020000000000000018e+00 1.176470588235294024e+01
1.274999999999999911e+00 1.176470588235294024e+01
1.530000000000000027e+00 1.960784313725490335e+01
1.785000000000000142e+00 1.176470588235294024e+01
2.040000000000000036e+00 2.745098039215686114e+01
2.294999999999999929e+00 3.921568627450980227e+00
2.549999999999999822e+00 5.490196078431372229e+01
2.805000000000000160e+00 3.137254901960784181e+01
3.060000000000000053e+00 3.529411764705882604e+01
3.314999999999999947e+00 5.490196078431372229e+01
3.570000000000000284e+00 6.274509803921568363e+01
3.825000000000000178e+00 6.666666666666667140e+01
4.080000000000000071e+00 7.058823529411765207e+01
4.334999999999999964e+00 8.235294117647057988e+01
4.589999999999999858e+00 9.411764705882352189e+01
4.844999999999999751e+00 1.019607843137254832e+02
5.099999999999999645e+00 1.333333333333333428e+02
5.355000000000000426e+00 1.294117647058823479e+02
5.610000000000000320e+00 1.803921568627450824e+02
5.865000000000000213e+00 1.725490196078431211e+02
6.120000000000000107e+00 2.392156862745098067e+02
6.375000000000000000e+00 2.431372549019607732e+02
6.629999999999999893e+00 2.470588235294117680e+02
6.884999999999999787e+00 3.019607843137254690e+02
7.140000000000000568e+00 3.215686274509803866e+02
7.395000000000000462e+00 3.921568627450980102e+02
7.650000000000000355e+00 4.196078431372549176e+02
7.905000000000000249e+00 4.588235294117646959e+02
8.160000000000000142e+00 5.098039215686274588e+02
8.415000000000000924e+00 5.686274509803921546e+02
8.669999999999999929e+00 3.529411764705882320e+02
8.925000000000000711e+00 3.215686274509803866e+02
9.179999999999999716e+00 2.313725490196078454e+02
9.435000000000000497e+00 1.921568627450980387e+02
9.689999999999999503e+00 1.764705882352941160e+02
9.945000000000000284e+00 1.764705882352941160e+02
1.019999999999999929e+01 4.705882352941176094e+01
1.045500000000000007e+01 2.745098039215686114e+01
1.071000000000000085e+01 3.137254901960784181e+01
1.096499999999999986e+01 3.529411764705882604e+01
1.122000000000000064e+01 4.313725490196078027e+01
1.147499999999999964e+01 5.098039215686274161e+01
1.173000000000000043e+01 5.098039215686274161e+01
1.198499999999999943e+01 5.490196078431372229e+01
1.224000000000000021e+01 6.274509803921568363e+01
1.249500000000000099e+01 5.098039215686274161e+01
1.275000000000000000e+01 6.274509803921568363e+01
1.300500000000000078e+01 0.000000000000000000e+00
